MAJOR;MINOR;Name;PROXIMITYUUID;MAC;geopos;register_source;UID;Standort;Geoposition;floor
61204;31719;Kontakt-SBB 61204.31719;;;(47.3784518441558|8.53714344155844|-3);CALIBMAP[IOS];61204.31719;ZH;47.3784518442,8.53714344156;-3
61121;41067;Kontakt-SBB 61121.41067;;;(47.3788930454545|8.53549120454545|-3);CALIBMAP[IOS];61121.41067;ZH;47.3788930455,8.53549120455;-3
61114;38204;Kontakt-SBB 61114.38204;;;(47.378180552795|8.53749109937888|-3);CALIBMAP[IOS];61114.38204;ZH;47.3781805528,8.53749109938;-3
61011;27709;Kontakt-SBB 61011.27709;;;(47.3782190844156|8.53801509415584|-3);CALIBMAP[IOS];61011.27709;ZH;47.3782190844,8.53801509416;-3
60989;52566;Kontakt-SBB 60989.52566;;;(47.3781839130435|8.53747863043478|-3);CALIBMAP[IOS];60989.52566;ZH;47.378183913,8.53747863043;-3
60890;17980;Kontakt-SBB 60890.17980;;;(47.3781322337662|8.53834033766234|-3);CALIBMAP[IOS];60890.1798;ZH;47.3781322338,8.53834033766;-3
60771;65071;Kontakt-SBB 60771.65071;;;(47.37828956|8.53800886|-3);CALIBMAP[IOS];60771.65071;ZH;47.37828956,8.53800886;-3
60695;41364;Kontakt-SBB 60695.41364;;;(47.3783821677019|8.53674296273292|-3);CALIBMAP[IOS];60695.41364;ZH;47.3783821677,8.53674296273;-3
60629;62073;Kontakt-SBB 60629.62073;;;(47.3784587922078|8.53711742207792|-3);CALIBMAP[IOS];60629.62073;ZH;47.3784587922,8.53711742208;-3
60517;53071;Kontakt-SBB 60517.53071;;;(47.3784767411765|8.53918478823529|0);CALIBMAP[IOS];60517.53071;ZH;47.3784767412,8.53918478824;0
60447;54795;Kontakt-SBB 60447.54795;;;(47.3782270479233|8.53757780830671|-3);CALIBMAP[IOS];60447.54795;ZH;47.3782270479,8.53757780831;-3
60400;12729;Kontakt-SBB 60400.12729;;;(47.3782538246753|8.53788499675325|-3);CALIBMAP[IOS];60400.12729;ZH;47.3782538247,8.53788499675;-3
