MAJOR;MINOR;Name;PROXIMITYUUID;MAC;geopos;register_source;UID;Standort;Geoposition;floor
48716;59279;Kontakt-SBB 48716.59279;;;(47.3773286666667|8.53918416666667|-1);CALIBMAP[IOS];48716.59279;ZH;47.3773286667,8.53918416667;-1
48686;50819;Kontakt-SBB 48686.50819;;;(47.3776485714286|8.53889597959184|-2);CALIBMAP[IOS];48686.50819;ZH;47.3776485714,8.53889597959;-2
48681;12314;Kontakt-SBB 48681.12314;;;(47.37774165|8.5391062|-2);CALIBMAP[IOS];48681.12314;ZH;47.37774165,8.5391062;-2
48266;51105;Kontakt-SBB 48266.51105;;;(47.3775744517045|8.53887080965909|0);CALIBMAP[IOS];48266.51105;ZH;47.3775744517,8.53887080966;0
48217;45740;Kontakt-SBB 48217.45740;;;(47.3777238529412|8.53901502941176|-2);CALIBMAP[IOS];48217.4574;ZH;47.3777238529,8.53901502941;-2
48176;54846;Kontakt-SBB 48176.54846;;;(47.3777445714286|8.53895655102041|-2);CALIBMAP[IOS];48176.54846;ZH;47.3777445714,8.53895655102;-2
48088;48542;Kontakt-SBB 48088.48542;;;(47.3786878181818|8.53638063636364|-2);CALIBMAP[IOS];48088.48542;ZH;47.3786878182,8.53638063636;-2
47881;23844;Kontakt-SBB 47881.23844;;;(47.3776500714286|8.53922278571429|-2);CALIBMAP[IOS];47881.23844;ZH;47.3776500714,8.53922278571;-2
47801;57417;Kontakt-SBB 47801.57417;;;(47.377721|8.53919976923077|-2);CALIBMAP[IOS];47801.57417;ZH;47.377721,8.53919976923;-2
47767;40385;Kontakt-SBB 47767.40385;;;(47.377916|8.53906471428571|-2);CALIBMAP[IOS];47767.40385;ZH;47.377916,8.53906471429;-2
47752;45631;Kontakt-SBB 47752.45631;;;(47.37772195|8.5390946|-2);CALIBMAP[IOS];47752.45631;ZH;47.37772195,8.5390946;-2
47656;59513;Kontakt-SBB 47656.59513;;;(47.3779136538462|8.53829115384615|-2);CALIBMAP[IOS];47656.59513;ZH;47.3779136538,8.53829115385;-2
47635;46487;Kontakt-SBB 47635.46487;;;(47.378088|8.53973333333333|-2);CALIBMAP[IOS];47635.46487;ZH;47.378088,8.53973333333;-2
47444;34673;Kontakt-SBB 47444.34673;;;(47.3780947755102|8.53828971428572|-2);CALIBMAP[IOS];47444.34673;ZH;47.3780947755,8.53828971429;-2
47380;29787;Kontakt-SBB 47380.29787;;;(47.3778106|8.5391468|-2);CALIBMAP[IOS];47380.29787;ZH;47.3778106,8.5391468;-2
47347;63910;Kontakt-SBB 47347.63910;;;(47.377556|8.53890066666667|-1);CALIBMAP[IOS];47347.6391;ZH;47.377556,8.53890066667;-1
47316;2886;Kontakt-SBB 47316.2886;;;(47.377723|8.53919123076923|-2);CALIBMAP[IOS];47316.2886;ZH;47.377723,8.53919123077;-2
47285;11523;Kontakt-SBB 47285.11523;;;(47.3777788571429|8.53897818367347|-2);CALIBMAP[IOS];47285.11523;ZH;47.3777788571,8.53897818367;-2
47184;32966;Kontakt-SBB 47184.32966;;;(47.3777854807692|8.53874423076923|-2);CALIBMAP[IOS];47184.32966;ZH;47.3777854808,8.53874423077;-2
47124;27958;Kontakt-SBB 47124.27958;;;(47.37782045|8.5391526|-2);CALIBMAP[IOS];47124.27958;ZH;47.37782045,8.5391526;-2
47066;15068;Kontakt-SBB 47066.15068;;;(47.3778337142857|8.53901279591837|-2);CALIBMAP[IOS];47066.15068;ZH;47.3778337143,8.53901279592;-2
47048;63762;Kontakt-SBB 47048.63762;;;(47.3777515|8.539112|-2);CALIBMAP[IOS];47048.63762;ZH;47.3777515,8.539112;-2
46996;38752;Kontakt-SBB 46996.38752;;;(47.3778748571429|8.53903875510204|-2);CALIBMAP[IOS];46996.38752;ZH;47.3778748571,8.5390387551;-2
46992;60564;Kontakt-SBB 46992.60564;;;(47.377544|8.53889293333333|-1);CALIBMAP[IOS];46992.60564;ZH;47.377544,8.53889293333;-1
46919;4164;Kontakt-SBB 46919.4164;;;(47.3777531470588|8.53903397058824|-2);CALIBMAP[IOS];46919.4164;ZH;47.3777531471,8.53903397059;-2
46871;19400;Kontakt-SBB 46871.19400;;;(47.3778062857143|8.53899548979592|-2);CALIBMAP[IOS];46871.194;ZH;47.3778062857,8.5389954898;-2
46854;48123;Kontakt-SBB 46854.48123;;;(47.3780788421053|8.53958215789474|-1);CALIBMAP[IOS];46854.48123;ZH;47.3780788421,8.53958215789;-1
46691;63061;Kontakt-SBB 46691.63061;;;(47.3777171428571|8.53893924489796|-2);CALIBMAP[IOS];46691.63061;ZH;47.3777171429,8.5389392449;-2
46647;45455;Kontakt-SBB 46647.45455;;;(47.3775175|8.5391855|-1);CALIBMAP[IOS];46647.45455;ZH;47.3775175,8.5391855;-1
46443;43771;Kontakt-SBB 46443.43771;;;(47.3779022857143|8.53905606122449|-2);CALIBMAP[IOS];46443.43771;ZH;47.3779022857,8.53905606122;-2
46395;32394;Kontakt-SBB 46395.32394;;;(47.37766285|8.5390598|-2);CALIBMAP[IOS];46395.32394;ZH;47.37766285,8.5390598;-2
46304;52391;Kontakt-SBB 46304.52391;;;(47.378110625|8.539463|-2);CALIBMAP[IOS];46304.52391;ZH;47.378110625,8.539463;-2
46287;12113;Kontakt-SBB 46287.12113;;;(47.3776965714286|8.53892626530612|-2);CALIBMAP[IOS];46287.12113;ZH;47.3776965714,8.53892626531;-2
46238;47557;Kontakt-SBB 46238.47557;;;(47.3777092058824|8.53900555882353|-2);CALIBMAP[IOS];46238.47557;ZH;47.3777092059,8.53900555882;-2
46205;48892;Kontakt-SBB 46205.48892;;;(47.3778476153846|8.54010592307692|-2);CALIBMAP[IOS];46205.48892;ZH;47.3778476154,8.54010592308;-2
46134;18681;Kontakt-SBB 46134.18681;;;(47.3774271764706|8.53906864171123|-1);CALIBMAP[IOS];46134.18681;ZH;47.3774271765,8.53906864171;-1
46038;55395;Kontakt-SBB 46038.55395;;;(47.3780921555555|8.53973255555556|-1);CALIBMAP[IOS];46038.55395;ZH;47.3780921556,8.53973255556;-1
45988;40746;Kontakt-SBB 45988.40746;;;(47.3777909|8.5391352|-2);CALIBMAP[IOS];45988.40746;ZH;47.3777909,8.5391352;-2
45973;54405;Kontakt-SBB 45973.54405;;;(47.3779612|8.5395298|-2);CALIBMAP[IOS];45973.54405;ZH;47.3779612,8.5395298;-2
45886;36079;Kontakt-SBB 45886.36079;;;(47.3780921|8.53971881666667|-2);CALIBMAP[IOS];45886.36079;ZH;47.3780921,8.53971881667;-2
45838;57263;Kontakt-SBB 45838.57263;;;(47.3779201363636|8.53959986363636|-1);CALIBMAP[IOS];45838.57263;ZH;47.3779201364,8.53959986364;-1
45815;26905;Kontakt-SBB 45815.26905;;;(47.3780527272727|8.53940009090909|-2);CALIBMAP[IOS];45815.26905;ZH;47.3780527273,8.53940009091;-2
45705;38644;Kontakt-SBB 45705.38644;;;(47.3791772121212|8.53670075757576|-2);CALIBMAP[IOS];45705.38644;ZH;47.3791772121,8.53670075758;-2
45672;61072;Kontakt-SBB 45672.61072;;;(47.3779702941176|8.53897764705882|-2);CALIBMAP[IOS];45672.61072;ZH;47.3779702941,8.53897764706;-2
45581;32300;Kontakt-SBB 45581.32300;;;(47.3780839|8.53974785|-2);CALIBMAP[IOS];45581.323;ZH;47.3780839,8.53974785;-2
45428;59339;Kontakt-SBB 45428.59339;;;(47.3778602307692|8.54008684615384|-2);CALIBMAP[IOS];45428.59339;ZH;47.3778602308,8.54008684615;-2
45422;51342;Kontakt-SBB 45422.51342;;;(47.3780616666667|8.53984066666667|-1);CALIBMAP[IOS];45422.51342;ZH;47.3780616667,8.53984066667;-1
45268;15745;Kontakt-SBB 45268.15745;;;(47.3779105|8.53972241666667|-2);CALIBMAP[IOS];45268.15745;ZH;47.3779105,8.53972241667;-2
45142;1846;Kontakt-SBB 45142.1846;;;(47.37770225|8.539083|-2);CALIBMAP[IOS];45142.1846;ZH;47.37770225,8.539083;-2
45041;533;Kontakt-SBB 45041.533;;;(47.377574|8.53891226666667|-1);CALIBMAP[IOS];45041.533;ZH;47.377574,8.53891226667;-1
44995;29401;Kontakt-SBB 44995.29401;;;(47.3778117352941|8.53907185294118|-2);CALIBMAP[IOS];44995.29401;ZH;47.3778117353,8.53907185294;-2
44897;33699;Kontakt-SBB 44897.33699;;;(47.3780407647059|8.53923882352941|-2);CALIBMAP[IOS];44897.33699;ZH;47.3780407647,8.53923882353;-2
44868;29534;Kontakt-SBB 44868.29534;;;(47.3786358863636|8.53993941666667|-2);CALIBMAP[IOS];44868.29534;ZH;47.3786358864,8.53993941667;-2
44821;39128;Kontakt-SBB 44821.39128;;;(47.3776622857143|8.53890463265306|-2);CALIBMAP[IOS];44821.39128;ZH;47.3776622857,8.53890463265;-2
44576;45480;Kontakt-SBB 44576.45480;;;(47.3777970882353|8.53906238235294|-2);CALIBMAP[IOS];44576.4548;ZH;47.3777970882,8.53906238235;-2
44505;60420;Kontakt-SBB 44505.60420;;;(47.3792888282828|8.53677376767677|-2);CALIBMAP[IOS];44505.6042;ZH;47.3792888283,8.53677376768;-2
44472;52655;Kontakt-SBB 44472.52655;;;(47.3778748571429|8.53903875510204|-2);CALIBMAP[IOS];44472.52655;ZH;47.3778748571,8.5390387551;-2
44453;7877;Kontakt-SBB 44453.7877;;;(47.3778678571429|8.53891362857143|-2);CALIBMAP[IOS];44453.7877;ZH;47.3778678571,8.53891362857;-2
44414;59340;Kontakt-SBB 44414.59340;;;(47.37774165|8.5391062|-2);CALIBMAP[IOS];44414.5934;ZH;47.37774165,8.5391062;-2
44297;10442;Kontakt-SBB 44297.10442;;;(47.3780553636364|8.53939054545455|-2);CALIBMAP[IOS];44297.10442;ZH;47.3780553636,8.53939054545;-2
44288;24711;Kontakt-SBB 44288.24711;;;(47.3789196363636|8.53653227272727|-2);CALIBMAP[IOS];44288.24711;ZH;47.3789196364,8.53653227273;-2
44219;34136;Kontakt-SBB 44219.34136;;;(47.37782|8.53900414285714|-2);CALIBMAP[IOS];44219.34136;ZH;47.37782,8.53900414286;-2
44073;7303;Kontakt-SBB 44073.7303;;;(47.3779107142857|8.53875905714286|-2);CALIBMAP[IOS];44073.7303;ZH;47.3779107143,8.53875905714;-2
44026;12256;Kontakt-SBB 44026.12256;;;(47.3779790952381|8.53967123809524|-2);CALIBMAP[IOS];44026.12256;ZH;47.3779790952,8.5396712381;-2
43927;64050;Kontakt-SBB 43927.64050;;;(47.3783122982456|8.53941161403509|-2);CALIBMAP[IOS];43927.6405;ZH;47.3783122982,8.53941161404;-2
43889;30176;Kontakt-SBB 43889.30176;;;(47.3778106|8.5391468|-2);CALIBMAP[IOS];43889.30176;ZH;47.3778106,8.5391468;-2
43820;18163;Kontakt-SBB 43820.18163;;;(47.3791514545455|8.53668390909091|-2);CALIBMAP[IOS];43820.18163;ZH;47.3791514545,8.53668390909;-2
43820;59228;Kontakt-SBB 43820.59228;;;(47.3779297142857|8.53907336734694|-2);CALIBMAP[IOS];43820.59228;ZH;47.3779297143,8.53907336735;-2
43771;6952;Kontakt-SBB 43771.6952;;;(47.3773185348837|8.53898023255814|-1);CALIBMAP[IOS];43771.6952;ZH;47.3773185349,8.53898023256;-1
43718;55839;Kontakt-SBB 43718.55839;;;(47.3785498421053|8.53955126315789|-2);CALIBMAP[IOS];43718.55839;ZH;47.3785498421,8.53955126316;-2
43636;10287;Kontakt-SBB 43636.10287;;;(47.3781030416667|8.53948966666667|-2);CALIBMAP[IOS];43636.10287;ZH;47.3781030417,8.53948966667;-2
43627;22469;Kontakt-SBB 43627.22469;;;(47.377885|8.5388518|-2);CALIBMAP[IOS];43627.22469;ZH;47.377885,8.5388518;-2
43584;17339;Kontakt-SBB 43584.17339;;;(47.3786475555556|8.53949822222222|-2);CALIBMAP[IOS];43584.17339;ZH;47.3786475556,8.53949822222;-2
43529;56586;Kontakt-SBB 43529.56586;;;(47.3782410350877|8.53936971929825|-2);CALIBMAP[IOS];43529.56586;ZH;47.3782410351,8.5393697193;-2
43420;14206;Kontakt-SBB 43420.14206;;;(47.3780448181818|8.53942872727273|-2);CALIBMAP[IOS];43420.14206;ZH;47.3780448182,8.53942872727;-2
43320;17994;Kontakt-SBB 43320.17994;;;(47.3780727083333|8.53959633333333|-2);CALIBMAP[IOS];43320.17994;ZH;47.3780727083,8.53959633333;-2
43284;43042;Kontakt-SBB 43284.43042;;;(47.3781460093458|8.54051675700935|-2);CALIBMAP[IOS];43284.43042;ZH;47.3781460093,8.54051675701;-2
43098;9926;Kontakt-SBB 43098.9926;;;(47.37798196875|8.53911909375|0);CALIBMAP[IOS];43098.9926;ZH;47.3779819687,8.53911909375;0
43083;326;Kontakt-SBB 43083.326;;;(47.3781460093458|8.54051675700935|-2);CALIBMAP[IOS];43083.326;ZH;47.3781460093,8.54051675701;-2
42992;20040;Kontakt-SBB 42992.20040;;;(47.3784165882353|8.54059066176471|-2);CALIBMAP[IOS];42992.2004;ZH;47.3784165882,8.54059066176;-2
42963;50418;Kontakt-SBB 42963.50418;;;(47.3779281|8.54029948333334|-2);CALIBMAP[IOS];42963.50418;ZH;47.3779281,8.54029948333;-2
42922;33301;Kontakt-SBB 42922.33301;;;(47.3781141588785|8.54049886915888|-2);CALIBMAP[IOS];42922.33301;ZH;47.3781141589,8.54049886916;-2
42875;29478;Kontakt-SBB 42875.29478;;;(47.3779195833333|8.54011541666667|-2);CALIBMAP[IOS];42875.29478;ZH;47.3779195833,8.54011541667;-2
42865;42762;Kontakt-SBB 42865.42762;;;(47.3780716915888|8.54047501869159|-2);CALIBMAP[IOS];42865.42762;ZH;47.3780716916,8.54047501869;-2
42775;44155;Kontakt-SBB 42775.44155;;;(47.3779039166667|8.54014708333333|-2);CALIBMAP[IOS];42775.44155;ZH;47.3779039167,8.54014708333;-2
42718;55166;Kontakt-SBB 42718.55166;;;(47.3784336470588|8.54052710294118|-2);CALIBMAP[IOS];42718.55166;ZH;47.3784336471,8.54052710294;-2
42647;34030;Kontakt-SBB 42647.34030;;;(47.3779163157895|8.54006494736842|-1);CALIBMAP[IOS];42647.3403;ZH;47.3779163158,8.54006494737;-1
42627;40932;Kontakt-SBB 42627.40932;;;(47.3779732|8.5401398|-2);CALIBMAP[IOS];42627.40932;ZH;47.3779732,8.5401398;-2
42547;43143;Kontakt-SBB 42547.43143;;;(47.3778207045455|8.53998679545454|-1);CALIBMAP[IOS];42547.43143;ZH;47.3778207045,8.53998679545;-1
42537;45409;Kontakt-SBB 42537.45409;;;(47.37717525|8.5396785|-1);CALIBMAP[IOS];42537.45409;ZH;47.37717525,8.5396785;-1
42420;23796;Kontakt-SBB 42420.23796;;;(47.3770789069767|8.53986804651163|-1);CALIBMAP[IOS];42420.23796;ZH;47.377078907,8.53986804651;-1
42008;43247;Kontakt-SBB 42008.43247;;;(47.378006|8.54002366666667|-2);CALIBMAP[IOS];42008.43247;ZH;47.378006,8.54002366667;-2
41775;11581;Kontakt-SBB 41775.11581;;;(47.3777935|8.54016691666667|-2);CALIBMAP[IOS];41775.11581;ZH;47.3777935,8.54016691667;-2
41750;64242;Kontakt-SBB 41750.64242;;;(47.377583317757|8.54020073831776|-2);CALIBMAP[IOS];41750.64242;ZH;47.3775833178,8.54020073832;-2
41708;14445;Kontakt-SBB 41708.14445;;;(47.3771974705882|8.53994834759358|-1);CALIBMAP[IOS];41708.14445;ZH;47.3771974706,8.53994834759;-1
41545;32227;Kontakt-SBB 41545.32227;;;(47.3777001028037|8.5402663271028|-2);CALIBMAP[IOS];41545.32227;ZH;47.3777001028,8.5402663271;-2
41466;28396;Kontakt-SBB 41466.28396;;;(47.3779105|8.53972241666667|-2);CALIBMAP[IOS];41466.28396;ZH;47.3779105,8.53972241667;-2
41439;7762;Kontakt-SBB 41439.7762;;;(47.3777818|8.54021136666667|-2);CALIBMAP[IOS];41439.7762;ZH;47.3777818,8.54021136667;-2
41324;40457;Kontakt-SBB 41324.40457;;;(47.3778168878505|8.54033191588785|-2);CALIBMAP[IOS];41324.40457;ZH;47.3778168879,8.54033191589;-2
41319;60889;Kontakt-SBB 41319.60889;;;(47.378731787234|8.53599293617021|-2);CALIBMAP[IOS];41319.60889;ZH;47.3787317872,8.53599293617;-2
41296;10854;Kontakt-SBB 41296.10854;;;(47.3778381214953|8.5403438411215|-2);CALIBMAP[IOS];41296.10854;ZH;47.3778381215,8.54034384112;-2
41293;15811;Kontakt-SBB 41293.15811;;;(47.3777213364486|8.54027825233645|-2);CALIBMAP[IOS];41293.15811;ZH;47.3777213364,8.54027825234;-2
41288;57789;Kontakt-SBB 41288.57789;;;(47.3781884766355|8.54054060747663|-2);CALIBMAP[IOS];41288.57789;ZH;47.3781884766,8.54054060748;-2
41156;27379;Kontakt-SBB 41156.27379;;;(47.3779027|8.53975205|-2);CALIBMAP[IOS];41156.27379;ZH;47.3779027,8.53975205;-2
41148;50578;Kontakt-SBB 41148.50578;;;(47.3779348095238|8.53981552380952|-2);CALIBMAP[IOS];41148.50578;ZH;47.3779348095,8.53981552381;-2
41140;55914;Kontakt-SBB 41140.55914;;;(47.379684|8.537053|-2);CALIBMAP[IOS];41140.55914;ZH;47.379684,8.537053;-2
41105;61029;Kontakt-SBB 41105.61029;;;(47.3779022857143|8.53905606122449|-2);CALIBMAP[IOS];41105.61029;ZH;47.3779022857,8.53905606122;-2
40942;7467;Kontakt-SBB 40942.7467;;;(47.377709|8.539251|-2);CALIBMAP[IOS];40942.7467;ZH;47.377709,8.539251;-2
40940;34082;Kontakt-SBB 40940.34082;;;(47.3777968409091|8.54007965909091|-1);CALIBMAP[IOS];40940.34082;ZH;47.3777968409,8.54007965909;-1
40828;22673;Kontakt-SBB 40828.22673;;;(47.377965|8.54016883333333|-2);CALIBMAP[IOS];40828.22673;ZH;47.377965,8.54016883333;-2
40678;15534;Kontakt-SBB 40678.15534;;;(47.3778487383178|8.54034980373832|-2);CALIBMAP[IOS];40678.15534;ZH;47.3778487383,8.54034980374;-2
40655;43023;Kontakt-SBB 40655.43023;;;(47.3779978|8.5400527|-2);CALIBMAP[IOS];40655.43023;ZH;47.3779978,8.5400527;-2
40590;33579;Kontakt-SBB 40590.33579;;;(47.3778598|8.53991503333333|-2);CALIBMAP[IOS];40590.33579;ZH;47.3778598,8.53991503333;-2
40529;104;Kontakt-SBB 40529.104;;;(47.3779404|8.54025593333333|-2);CALIBMAP[IOS];40529.104;ZH;47.3779404,8.54025593333;-2
40480;132;Kontakt-SBB 40480.132;;;(47.3778013|8.54013728333333|-2);CALIBMAP[IOS];40480.132;ZH;47.3778013,8.54013728333;-2
40195;39621;Kontakt-SBB 40195.39621;;;(47.378129|8.53958816666667|-2);CALIBMAP[IOS];40195.39621;ZH;47.378129,8.53958816667;-2
40134;63285;Kontakt-SBB 40134.63285;;;(47.3779348095238|8.53981552380952|-2);CALIBMAP[IOS];40134.63285;ZH;47.3779348095,8.53981552381;-2
40019;15137;Kontakt-SBB 40019.15137;;;(47.3778223555556|8.53886268888889|-2);CALIBMAP[IOS];40019.15137;ZH;47.3778223556,8.53886268889;-2
40018;27654;Kontakt-SBB 40018.27654;;;(47.3791174615384|8.53657253846154|-2);CALIBMAP[IOS];40018.27654;ZH;47.3791174615,8.53657253846;-2
39946;20774;Kontakt-SBB 39946.20774;;;(47.3780716915888|8.54047501869159|-2);CALIBMAP[IOS];39946.20774;ZH;47.3780716916,8.54047501869;-2
39866;22433;Kontakt-SBB 39866.22433;;;(47.3779691|8.54015431666667|-2);CALIBMAP[IOS];39866.22433;ZH;47.3779691,8.54015431667;-2
39708;58552;Kontakt-SBB 39708.58552;;;(47.3778052|8.54012246666667|-2);CALIBMAP[IOS];39708.58552;ZH;47.3778052,8.54012246667;-2
39690;61183;Kontakt-SBB 39690.61183;;;(47.3779320681818|8.53955343181818|-1);CALIBMAP[IOS];39690.61183;ZH;47.3779320682,8.53955343182;-1
39689;45855;Kontakt-SBB 39689.45855;;;(47.3779144|8.5397076|-2);CALIBMAP[IOS];39689.45855;ZH;47.3779144,8.5397076;-2
39645;61083;Kontakt-SBB 39645.61083;;;(47.3784123235294|8.54060655147059|-2);CALIBMAP[IOS];39645.61083;ZH;47.3784123235,8.54060655147;-2
39303;7992;Kontakt-SBB 39303.7992;;;(47.3776470186916|8.54023651401869|-2);CALIBMAP[IOS];39303.7992;ZH;47.3776470187,8.54023651402;-2
39266;44255;Kontakt-SBB 39266.44255;;;(47.377965|8.54016883333333|-2);CALIBMAP[IOS];39266.44255;ZH;47.377965,8.54016883333;-2
39224;28175;Kontakt-SBB 39224.28175;;;(47.3777956542056|8.5403199906542|-2);CALIBMAP[IOS];39224.28175;ZH;47.3777956542,8.54031999065;-2
39216;8522;Kontakt-SBB 39216.8522;;;(47.3778478|8.5387798|-2);CALIBMAP[IOS];39216.8522;ZH;47.3778478,8.5387798;-2
39171;36912;Kontakt-SBB 39171.36912;;;(47.3781794365482|8.53907827411168|0);CALIBMAP[IOS];39171.36912;ZH;47.3781794365,8.53907827411;0
39154;8591;Kontakt-SBB 39154.8591;;;(47.3782993960396|8.53817151485149|-2);CALIBMAP[IOS];39154.8591;ZH;47.378299396,8.53817151485;-2
39127;258;Kontakt-SBB 39127.258;;;(47.378766009901|8.53844271287129|-2);CALIBMAP[IOS];39127.258;ZH;47.3787660099,8.53844271287;-2
38951;9185;Kontakt-SBB 38951.9185;;;(47.3780775510204|8.53835142857143|-2);CALIBMAP[IOS];38951.9185;ZH;47.378077551,8.53835142857;-2
38782;21451;Kontakt-SBB 38782.21451;;;(47.378548980198|8.53831657425743|-2);CALIBMAP[IOS];38782.21451;ZH;47.3785489802,8.53831657426;-2
38672;14709;Kontakt-SBB 38672.14709;;;(47.3778337058823|8.53908605882353|-2);CALIBMAP[IOS];38672.14709;ZH;47.3778337059,8.53908605882;-2
38485;33854;Kontakt-SBB 38485.33854;;;(47.3788202673267|8.53847424752475|-2);CALIBMAP[IOS];38485.33854;ZH;47.3788202673,8.53847424752;-2
38479;32836;Kontakt-SBB 38479.32836;;;(47.3780603265306|8.53841314285714|-2);CALIBMAP[IOS];38479.32836;ZH;47.3780603265,8.53841314286;-2
38293;18865;Kontakt-SBB 38293.18865;;;(47.3776568823529|8.53818893582888|-1);CALIBMAP[IOS];38293.18865;ZH;47.3776568824,8.53818893583;-1
38289;59491;Kontakt-SBB 38289.59491;;;(47.3778483529412|8.53909552941176|-2);CALIBMAP[IOS];38289.59491;ZH;47.3778483529,8.53909552941;-2
38237;55568;Kontakt-SBB 38237.55568;;;(47.3780560204082|8.53842857142857|-2);CALIBMAP[IOS];38237.55568;ZH;47.3780560204,8.53842857143;-2
38237;62718;Kontakt-SBB 38237.62718;;;(47.3777788571429|8.53897818367347|-2);CALIBMAP[IOS];38237.62718;ZH;47.3777788571,8.53897818367;-2
38236;62717;Kontakt-SBB 38236.62717;;;(47.3776854285714|8.53923971428571|-2);CALIBMAP[IOS];38236.62717;ZH;47.3776854286,8.53923971429;-2
38233;62714;Kontakt-SBB 38233.62714;;;(47.3778325333333|8.53882953333333|-2);CALIBMAP[IOS];38233.62714;ZH;47.3778325333,8.53882953333;-2
38232;62713;Kontakt-SBB 38232.62713;;;(47.3779702941176|8.53897764705882|-2);CALIBMAP[IOS];38232.62713;ZH;47.3779702941,8.53897764706;-2
38230;62711;Kontakt-SBB 38230.62711;;;(47.3781697058824|8.53831235294118|-2);CALIBMAP[IOS];38230.62711;ZH;47.3781697059,8.53831235294;-2
38229;62710;Kontakt-SBB 38229.62710;;;(47.3777788571429|8.53897818367347|-2);CALIBMAP[IOS];38229.6271;ZH;47.3777788571,8.53897818367;-2
38228;62709;Kontakt-SBB 38228.62709;;;(47.3778556764706|8.53910026470588|-2);CALIBMAP[IOS];38228.62709;ZH;47.3778556765,8.53910026471;-2
38227;62708;Kontakt-SBB 38227.62708;;;(47.377846|8.537968|-1);CALIBMAP[IOS];38227.62708;ZH;47.377846,8.537968;-1
38226;62707;Kontakt-SBB 38226.62707;;;(47.378094372549|8.53856368627451|-2);CALIBMAP[IOS];38226.62707;ZH;47.3780943725,8.53856368627;-2
38224;62705;Kontakt-SBB 38224.62705;;;(47.3780886138614|8.53815507920792|-2);CALIBMAP[IOS];38224.62705;ZH;47.3780886139,8.53815507921;-2
38223;62704;Kontakt-SBB 38223.62704;;;(47.37770225|8.539083|-2);CALIBMAP[IOS];38223.62704;ZH;47.37770225,8.539083;-2
38222;62703;Kontakt-SBB 38222.62703;;;(47.3780043469388|8.53861371428571|-2);CALIBMAP[IOS];38222.62703;ZH;47.3780043469,8.53861371429;-2
38220;62701;Kontakt-SBB 38220.62701;;;(47.3779571428571|8.53909067346939|-2);CALIBMAP[IOS];38220.62701;ZH;47.3779571429,8.53909067347;-2
38219;62700;Kontakt-SBB 38219.62700;;;(47.3779968823529|8.53888894117647|-2);CALIBMAP[IOS];38219.627;ZH;47.3779968824,8.53888894118;-2
38218;62699;Kontakt-SBB 38218.62699;;;(47.3782514210526|8.54112736842105|-1);CALIBMAP[IOS];38218.62699;ZH;47.3782514211,8.54112736842;-1
38217;62698;Kontakt-SBB 38217.62698;;;(47.3783643181818|8.54075915909091|-2);CALIBMAP[IOS];38217.62698;ZH;47.3783643182,8.54075915909;-2
38215;62696;Kontakt-SBB 38215.62696;;;(47.3782285263158|8.54120921052632|-1);CALIBMAP[IOS];38215.62696;ZH;47.3782285263,8.54120921053;-1
38214;62695;Kontakt-SBB 38214.62695;;;(47.378188375|8.541497625|-1);CALIBMAP[IOS];38214.62695;ZH;47.378188375,8.541497625;-1
38210;62691;Kontakt-SBB 38210.62691;;;(47.3782613181818|8.54109265909091|-2);CALIBMAP[IOS];38210.62691;ZH;47.3782613182,8.54109265909;-2
38209;62690;Kontakt-SBB 38209.62690;;;(47.3786462195122|8.54079890243902|-1);CALIBMAP[IOS];38209.6269;ZH;47.3786462195,8.54079890244;-1
38207;62688;Kontakt-SBB 38207.62688;;;(47.3786584146342|8.54091792682927|-1);CALIBMAP[IOS];38207.62688;ZH;47.3786584146,8.54091792683;-1
38205;62686;Kontakt-SBB 38205.62686;;;(47.3786492682927|8.54082865853658|-1);CALIBMAP[IOS];38205.62686;ZH;47.3786492683,8.54082865854;-1
38204;62685;Kontakt-SBB 38204.62685;;;(47.3784640681818|8.54059608333333|-2);CALIBMAP[IOS];38204.62685;ZH;47.3784640682,8.54059608333;-2
38200;62681;Kontakt-SBB 38200.62681;;;(47.3782376842105|8.54117647368421|-1);CALIBMAP[IOS];38200.62681;ZH;47.3782376842,8.54117647368;-1
38199;62680;Kontakt-SBB 38199.62680;;;(47.3786025327103|8.54077314953271|-2);CALIBMAP[IOS];38199.6268;ZH;47.3786025327,8.54077314953;-2
38194;62675;Kontakt-SBB 38194.62675;;;(47.3786561764706|8.54092582352941|-2);CALIBMAP[IOS];38194.62675;ZH;47.3786561765,8.54092582353;-2
38193;62674;Kontakt-SBB 38193.62674;;;(47.378180625|8.541467375|-1);CALIBMAP[IOS];38193.62674;ZH;47.378180625,8.541467375;-1
38191;62672;Kontakt-SBB 38191.62672;;;(47.3782415607477|8.54057042056075|-2);CALIBMAP[IOS];38191.62672;ZH;47.3782415607,8.54057042056;-2
38190;62671;Kontakt-SBB 38190.62671;;;(47.37820775|8.54157325|-1);CALIBMAP[IOS];38190.62671;ZH;47.37820775,8.54157325;-1
38189;62670;Kontakt-SBB 38189.62670;;;(47.3786456097561|8.54079295121951|-1);CALIBMAP[IOS];38189.6267;ZH;47.3786456098,8.54079295122;-1
38188;62669;Kontakt-SBB 38188.62669;;;(47.378645|8.540797|-2);CALIBMAP[IOS];38188.62669;ZH;47.378645,8.540797;-2
