"id","signal_timestamp","uuid","major","minor","service_uuid","bluetooth_address","bluetooth_name","beacon_type_code","parser_identifier","tx_power","rssi","running_average_rssi","distance","calculated_distance","beacon_id","device_id"
"6162","2022-04-08 20:40:07.704+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","43636","10287",-1,"F4:66:AF:54:F2:E0","UG156",1275068949,NULL,-72,-98,"-93.5","3.1358536339206555",NULL,NULL,"1"
"6163","2022-04-08 20:40:07.704+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"3A:5D:EB:79:02:98",NULL,1275068949,NULL,-45,-96,"-95.5","79.00517585716199",NULL,NULL,"1"
"6164","2022-04-08 20:40:07.704+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","47635","46487",-1,"CF:B9:35:A2:20:B7","UG211",1275068949,NULL,-72,-85,"-85","1.8835567528602395",NULL,NULL,"1"
"6165","2022-04-08 20:40:07.704+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","39689","45855",-1,"D7:08:BA:E2:C1:66","UG106",1275068949,NULL,-72,-86,"-86","1.9964520716223102",NULL,NULL,"1"
"6166","2022-04-08 20:40:08.21+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","46854","48123",-1,"C1:CC:F0:2A:D5:0C","UG196",1275068949,NULL,-72,-100,"-100","4.674755440533111",NULL,NULL,"1"
"6167","2022-04-08 20:40:08.21+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","39216","8522",-1,"F7:DC:7D:17:04:42","UG101",1275068949,NULL,-72,-94,"-92.5","2.9497082883414505",NULL,NULL,"1"
"6168","2022-04-08 20:40:08.21+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","46238","47557",-1,"D4:2A:1F:A6:D5:8F","UG189",1275068949,NULL,-72,-99,"-97","3.888039871823217",NULL,NULL,"1"
"6169","2022-04-08 20:40:08.716+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","45581","32300",-1,"DE:3E:AB:0B:1E:5C","UG179",1275068949,NULL,-72,-89,"-89","2.3855647532599296",NULL,NULL,"1"
"6170","2022-04-08 20:40:08.716+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"3A:5D:EB:79:02:98",NULL,1275068949,NULL,-45,-93,"-95.36842105263158","78.25724601445762",NULL,NULL,"1"
"6171","2022-04-08 20:40:08.716+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","44073","7303",-1,"DF:24:EB:E2:95:5F","UG163",1275068949,NULL,-72,-91,"-90","2.5337382706296463",NULL,NULL,"1"
"6172","2022-04-08 20:40:08.716+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","41105","61029",-1,"DE:56:A9:51:E1:42","UG122",1275068949,NULL,-72,-88,"-74.5","1.0835000061291593",NULL,NULL,"1"
"6173","2022-04-08 20:40:09.726+00","50765cb7-d9ea-4e21-99a4-fa879613a492","30149","47893",-1,"4C:EB:BD:D9:D1:58",NULL,1275068949,NULL,-50,-99,"-99","49.0029516131644",NULL,NULL,"1"
"6174","2022-04-08 20:40:09.726+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"3A:5D:EB:79:02:98",NULL,1275068949,NULL,-45,-96,"-95.4","78.43619016312081",NULL,NULL,"1"
"6175","2022-04-08 20:40:09.726+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","41105","61029",-1,"DE:56:A9:51:E1:42","UG122",1275068949,NULL,-72,-93,"-78.5","1.3172868861496454",NULL,NULL,"1"
"6176","2022-04-08 20:40:09.726+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","45815","26905",-1,"D4:04:C1:AC:D7:08","UG181",1275068949,NULL,-72,-94,"-93","3.0412930401524756",NULL,NULL,"1"
"6177","2022-04-08 20:40:10.231+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","39689","45855",-1,"D7:08:BA:E2:C1:66","UG106",1275068949,NULL,-72,-88,"-87","2.1174309619664484",NULL,NULL,"1"
"6178","2022-04-08 20:40:11.243+00","50765cb7-d9ea-4e21-99a4-fa879613a492","731","21402",-1,"4C:EB:BD:D9:71:2A",NULL,1275068949,NULL,-50,-85,"-88.16666666666667","22.209143216504405",NULL,NULL,"1"
"6179","2022-04-08 20:40:11.243+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","45581","32300",-1,"DE:3E:AB:0B:1E:5C","UG179",1275068949,NULL,-72,-100,"-94.5","3.334224055332304",NULL,NULL,"1"
"6180","2022-04-08 20:40:11.243+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"30:D4:A9:4C:D3:9E",NULL,1275068949,NULL,-45,-100,"-95.21739130434783","77.40628450007897",NULL,NULL,"1"
"6181","2022-04-08 20:40:11.243+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","41105","61029",-1,"DE:56:A9:51:E1:42","UG122",1275068949,NULL,-72,-90,"-82.33333333333333","1.6186311742500985",NULL,NULL,"1"
"6182","2022-04-08 20:40:11.75+00","50765cb7-d9ea-4e21-99a4-fa879613a492","731","21402",-1,"4C:EB:BD:D9:71:2A",NULL,1275068949,NULL,-50,-84,"-87.84615384615384","21.66798227621996",NULL,NULL,"1"
"6183","2022-04-08 20:40:11.75+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"30:D4:A9:4C:D3:9E",NULL,1275068949,NULL,-45,-97,"-95.08695652173913","76.67779550856258",NULL,NULL,"1"
"6184","2022-04-08 20:40:12.255+00","50765cb7-d9ea-4e21-99a4-fa879613a492","731","21402",-1,"4C:EB:BD:D9:71:2A",NULL,1275068949,NULL,-50,-86,"-87.71428571428571","21.448718071944434",NULL,NULL,"1"
"6185","2022-04-08 20:40:12.255+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","46304","52391",-1,"E5:39:83:B0:DB:6A","UG191",1275068949,NULL,-72,-82,"-88","2.246969226666544",NULL,NULL,"1"
"6186","2022-04-08 20:40:12.255+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"3A:5D:EB:79:02:98",NULL,1275068949,NULL,-45,-93,"-94.95454545454545","75.94432305370533",NULL,NULL,"1"
"6187","2022-04-08 20:40:12.255+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","47635","46487",-1,"CF:B9:35:A2:20:B7","UG211",1275068949,NULL,-72,-77,"-81","1.504027136544423",NULL,NULL,"1"
"6188","2022-04-08 20:40:12.764+00","00112233-4455-6677-8899-aabbccddeeff","0","0",-1,"ED:17:5F:20:A5:BB",NULL,1275068949,NULL,-63,-102,"-102","12.51903476766024",NULL,NULL,"1"
"6189","2022-04-08 20:40:12.764+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"22:C5:D0:6D:7B:63",NULL,1275068949,NULL,-45,-91,"-94.625","74.14506366687125",NULL,NULL,"1"
