"id","signal_timestamp","uuid","major","minor","service_uuid","bluetooth_address","bluetooth_name","beacon_type_code","parser_identifier","tx_power","rssi","running_average_rssi","distance","calculated_distance","beacon_id","device_id"
"5204","2022-04-08 20:34:09.607+00","f0018b9b-7509-4c31-a905-1a27d39c003c","10132","10157",-1,"CF:BF:1A:C6:84:07",NULL,1275068949,NULL,-77,-95,"-95.21052631578948","2.3895843238665657",NULL,NULL,"1"
"5205","2022-04-08 20:34:10.63+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38162","62643",-1,"C6:96:3D:B3:B8:CB","UG46",1275068949,NULL,-72,-88,"-89.5","2.458420804268288",NULL,NULL,"1"
"5206","2022-04-08 20:34:10.63+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38782","21451",-1,"EC:7E:E7:6F:95:01","UG97",1275068949,NULL,-72,-91,"-93","3.0412930401524756",NULL,NULL,"1"
"5207","2022-04-08 20:34:11.147+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38485","33854",-1,"C7:9F:34:F5:3B:0A","UG95",1275068949,NULL,-72,-77,"-78.2","1.297142369269159",NULL,NULL,"1"
"5208","2022-04-08 20:34:11.147+00","f0018b9b-7509-4c31-a905-1a27d39c003c","10132","10157",-1,"CF:BF:1A:C6:84:07",NULL,1275068949,NULL,-77,-99,"-95.875","2.48065733231031",NULL,NULL,"1"
"5209","2022-04-08 20:34:11.663+00","f0018b9b-7509-4c31-a905-1a27d39c003c","10082","10107",-1,"FA:CF:84:A9:1E:0D",NULL,1275068949,NULL,-77,-98,"-94.95238095238095","2.3552085381481214",NULL,NULL,"1"
"5210","2022-04-08 20:34:11.663+00","f0018b9b-7509-4c31-a905-1a27d39c003c","10132","10157",-1,"CF:BF:1A:C6:84:07",NULL,1275068949,NULL,-77,-99,"-96.25","2.5337382706296463",NULL,NULL,"1"
"5211","2022-04-08 20:34:11.663+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38109","62590",-1,"E8:68:23:91:9A:0D","UG14",1275068949,NULL,-72,-90,"-89","2.3855647532599296",NULL,NULL,"1"
"5212","2022-04-08 20:34:12.689+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38485","33854",-1,"C7:9F:34:F5:3B:0A","UG95",1275068949,NULL,-72,-81,"-78.66666666666667","1.3286778360880818",NULL,NULL,"1"
"5213","2022-04-08 20:34:12.689+00","e2c56db5-dffb-48d2-b060-d0f5a71096e0","3568","1",-1,"AC:23:3F:7A:C6:1B",NULL,1275068949,NULL,-59,-90,"-95.5","12.49832315020908",NULL,NULL,"1"
"5214","2022-04-08 20:34:12.689+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38157","62638",-1,"F8:76:4D:F7:1A:B2","UG41",1275068949,NULL,-72,-77,"-79.75","1.4063084097954612",NULL,NULL,"1"
"5215","2022-04-08 20:34:13.206+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38099","62580",-1,"E2:AC:51:41:2F:DD","UG9",1275068949,NULL,-72,-96,"-91.25","2.7332558028376654",NULL,NULL,"1"
"5216","2022-04-08 20:34:13.206+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38672","14709",-1,"CC:82:13:AA:92:E0","UG96",1275068949,NULL,-72,-102,"-102","5.283145335285061",NULL,NULL,"1"
"5217","2022-04-08 20:34:13.206+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38951","9185",-1,"F6:96:56:5C:49:B1","UG98",1275068949,NULL,-72,-100,"-96","3.656154548914359",NULL,NULL,"1"
"5218","2022-04-08 20:34:13.206+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38148","62629",-1,"D9:E5:CF:CC:4B:ED","UG36",1275068949,NULL,-72,-94,"-94","3.2334700699621974",NULL,NULL,"1"
"5219","2022-04-08 20:34:13.721+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38485","33854",-1,"C7:9F:34:F5:3B:0A","UG95",1275068949,NULL,-72,-83,"-79.28571428571429","1.372263783796643",NULL,NULL,"1"
"5220","2022-04-08 20:34:13.721+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38123","62604",-1,"F3:60:99:87:40:2B","UG23",1275068949,NULL,-72,-83,"-96","3.656154548914359",NULL,NULL,"1"
"5221","2022-04-08 20:34:13.721+00","f0018b9b-7509-4c31-a905-1a27d39c003c","10082","10107",-1,"FA:CF:84:A9:1E:0D",NULL,1275068949,NULL,-77,-96,"-95.88888888888889","2.4826013813895296",NULL,NULL,"1"
"5222","2022-04-08 20:34:13.721+00","f0018b9b-7509-4c31-a905-1a27d39c003c","10132","10157",-1,"CF:BF:1A:C6:84:07",NULL,1275068949,NULL,-77,-95,"-96.21428571428571","2.5286297079190634",NULL,NULL,"1"
"5223","2022-04-08 20:34:13.721+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","39154","8591",-1,"F8:7D:55:C5:34:DC","UG100",1275068949,NULL,-72,-82,"-93.66666666666667","3.168048908364378",NULL,NULL,"1"
"5224","2022-04-08 20:34:14.236+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38224","62705",-1,"EF:7B:1F:7D:B9:C2","UG80",1275068949,NULL,-72,-86,"-89","2.3855647532599296",NULL,NULL,"1"
"5225","2022-04-08 20:34:14.236+00","f0018b9b-7509-4c31-a905-1a27d39c003c","10082","10107",-1,"FA:CF:84:A9:1E:0D",NULL,1275068949,NULL,-77,-96,"-95.83333333333333","2.474835225860619",NULL,NULL,"1"
"5226","2022-04-08 20:34:14.236+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","47316","2886",-1,"D3:F9:77:90:62:4A","UG206",1275068949,NULL,-72,-98,"-98","4.13458776611357",NULL,NULL,"1"
"5227","2022-04-08 20:34:14.236+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38137","62618",-1,"E7:37:35:3A:43:C1","UG31",1275068949,NULL,-72,-96,"-96","3.656154548914359",NULL,NULL,"1"
"5228","2022-04-08 20:34:14.749+00","f0018b9b-7509-4c31-a905-1a27d39c003c","10082","10107",-1,"FA:CF:84:A9:1E:0D",NULL,1275068949,NULL,-77,-98,"-96.10526315789474","2.5131047465249896",NULL,NULL,"1"
"5229","2022-04-08 20:34:14.749+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38157","62638",-1,"F8:76:4D:F7:1A:B2","UG41",1275068949,NULL,-72,-85,"-80.8","1.4877795330943595",NULL,NULL,"1"
"5230","2022-04-08 20:34:15.258+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38131","62612",-1,"DC:C8:87:D1:16:7F","UG28",1275068949,NULL,-72,-92,"-92","2.861021058148136",NULL,NULL,"1"
"5231","2022-04-08 20:34:15.258+00","e2c56db5-dffb-48d2-b060-d0f5a71096e0","3568","1",-1,"AC:23:3F:7A:C6:1B",NULL,1275068949,NULL,-59,-77,"-83.5","5.2504561858311165",NULL,NULL,"1"
"5232","2022-04-08 20:34:15.258+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38082","62563",-1,"F3:E9:45:93:69:BD","UG1",1275068949,NULL,-72,-80,"-91","2.692034122517204",NULL,NULL,"1"
"5233","2022-04-08 20:34:15.258+00","f0018b9b-7509-4c31-a905-1a27d39c003c","10082","10107",-1,"FA:CF:84:A9:1E:0D",NULL,1275068949,NULL,-77,-96,"-96.15789473684211","2.5205864855200586",NULL,NULL,"1"
"5234","2022-04-08 20:34:15.768+00","f0018b9b-7509-4c31-a905-1a27d39c003c","10082","10107",-1,"FA:CF:84:A9:1E:0D",NULL,1275068949,NULL,-77,-94,"-96.3","2.540909224463176",NULL,NULL,"1"
"5235","2022-04-08 20:34:15.768+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38084","62565",-1,"C8:8E:9B:5B:C3:AF","UG3",1275068949,NULL,-72,-91,"-92.5","2.9497082883414505",NULL,NULL,"1"
"5236","2022-04-08 20:34:16.277+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38224","62705",-1,"EF:7B:1F:7D:B9:C2","UG80",1275068949,NULL,-72,-78,"-88","2.246969226666544",NULL,NULL,"1"
"5237","2022-04-08 20:34:16.277+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38097","62578",-1,"DA:0B:27:E3:F0:DD","UG7",1275068949,NULL,-72,-92,"-91","2.692034122517204",NULL,NULL,"1"
"5238","2022-04-08 20:34:16.277+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38170","62651",-1,"D2:46:87:15:0C:30","UG50",1275068949,NULL,-72,-89,"-79","1.3518945870528474",NULL,NULL,"1"
