beacon_id;MAJOR;MINOR;Name;geopos;register_source;UID;Geoposition;floor
691;13443;41122;Kontakt-SBB 13443.41122;(47.3787037706093|8.5389396953405|0);CALIBMAP[IOS];13443.41122;47.3787037706093, 8.5389396953405;0
692;13129;15605;Kontakt-SBB 13129.15605;(47.3786403176471|8.53857862352941|0);CALIBMAP[IOS];13129.15605;47.3786403176471, 8.53857862352941;0
693;13050;42572;Kontakt-SBB 13050.42572;(47.3787899769585|8.53920606451613|0);CALIBMAP[IOS];13050.42572;47.3787899769585, 8.53920606451613;0
696;12778;58717;Kontakt-SBB 12778.58717;(47.3785659647059|8.53885415294118|0);CALIBMAP[IOS];12778.58717;47.3785659647059, 8.53885415294118;0
698;12493;54637;Kontakt-SBB 12493.54637;(47.378742327189|8.53938348387097|0);CALIBMAP[IOS];12493.54637;47.378742327189, 8.53938348387097;0
710;11571;57549;Kontakt-SBB 11571.57549;(47.3786631019417|8.53785633009709|0);CALIBMAP[IOS];11571.57549;47.3786631019417, 8.53785633009709;0
717;10774;13902;Kontakt-SBB 10774.13902;(47.3783941650485|8.53886505825243|0);CALIBMAP[IOS];10774.13902;47.3783941650485, 8.53886505825243;0
724;10101;45364;Kontakt-SBB 10101.45364;(47.3781986852792|8.53900663959391|0);CALIBMAP[IOS];10101.45364;47.3781986852792, 8.53900663959391;0
728;7709;63638;Kontakt-SBB 7709.63638;(47.377961028169|8.54034242253521|0);CALIBMAP[IOS];7709.63638;47.377961028169, 8.54034242253521;0
738;2704;23984;Kontakt-SBB 2704.23984;(47.3779706666667|8.53911233333333|0);CALIBMAP[IOS];2704.23984;47.3779706666667, 8.53911233333333;0
