calculation_method;calc_trigger_time;route_start_time;route_end_time;device_fingerprint;geopos;Geoposition;position_timestamp;position_floor_estimation;position_signals_floors;position_signal_1_beacon;position_signal_1_timestamp;position_signal_2_beacon;position_signal_2_beacon;position_signal_3_beacon;position_signal_3_timestamp
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.38023593600217|8.535621518700735|-2);47.38023593600217,8.535621518700735;Wed Apr 13 18:54:21 CEST 2022;-2;-2,-2,-2,;392;2022-04-13 18:54:21.842;373;2022-04-13 18:54:21.842;356;2022-04-13 18:54:21.842
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37845214257894|8.537859409202632|-2);47.37845214257894,8.537859409202632;Wed Apr 13 18:54:21 CEST 2022;-2;-2,-2,-2,;360;2022-04-13 18:54:21.842;392;2022-04-13 18:54:21.842;373;2022-04-13 18:54:21.842
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37831040661069|8.538410372635042|-2);47.37831040661069,8.538410372635042;Wed Apr 13 18:54:22 CEST 2022;-2;-2,-2,-2,;318;2022-04-13 18:54:22.064;380;2022-04-13 18:54:22.064;385;2022-04-13 18:54:22.064
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37807803189029|8.539364509260233|-2);47.37807803189029,8.539364509260233;Wed Apr 13 18:54:27 CEST 2022;-2;-2,-2,-2,;305;2022-04-13 18:54:27.882;364;2022-04-13 18:54:27.882;363;2022-04-13 18:54:27.882
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37828710710466|8.538862007844951|-2);47.37828710710466,8.538862007844951;Wed Apr 13 18:54:34 CEST 2022;-2;-2,-2,-2,;356;2022-04-13 18:54:34.376;387;2022-04-13 18:54:34.376;364;2022-04-13 18:54:34.376
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37932512293992|8.539236033608011|-2);47.37932512293992,8.539236033608011;Wed Apr 13 18:55:09 CEST 2022;-2;-2,-2,-2,;188;2022-04-13 18:55:09.209;277;2022-04-13 18:55:09.209;174;2022-04-13 18:55:09.209
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37772858412182|8.539083483129014|-2);47.37772858412182,8.539083483129014;Wed Apr 13 18:55:20 CEST 2022;-2;-2,-2,-2,;178;2022-04-13 18:55:20.628;189;2022-04-13 18:55:20.628;169;2022-04-13 18:55:20.628
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37770090692255|8.539123078927455|-2);47.37770090692255,8.539123078927455;Wed Apr 13 18:55:30 CEST 2022;-2;-2,-2,-2,;184;2022-04-13 18:55:30.954;177;2022-04-13 18:55:30.954;174;2022-04-13 18:55:30.954
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37770002056744|8.539098434033546|-2);47.37770002056744,8.539098434033546;Wed Apr 13 18:55:34 CEST 2022;-2;-2,-2,-2,;311;2022-04-13 18:55:34.274;310;2022-04-13 18:55:34.274;169;2022-04-13 18:55:34.274
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.377755349495324|8.539077628003273|-2);47.377755349495324,8.539077628003273;Wed Apr 13 18:55:48 CEST 2022;-2;-2,-2,-2,;316;2022-04-13 18:55:48.105;190;2022-04-13 18:55:48.105;165;2022-04-13 18:55:48.105
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37917247542399|8.539063928465088|-2);47.37917247542399,8.539063928465088;Wed Apr 13 18:56:21 CEST 2022;-2;-2,-2,-2,;208;2022-04-13 18:56:21.552;226;2022-04-13 18:56:21.552;232;2022-04-13 18:56:21.552
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37763078396107|8.539391203373276|-2);47.37763078396107,8.539391203373276;Wed Apr 13 18:56:34 CEST 2022;-2;-2,-2,-2,;179;2022-04-13 18:56:34.676;217;2022-04-13 18:56:34.676;231;2022-04-13 18:56:34.676
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.378451274304794|8.538854328748167|-2);47.378451274304794,8.538854328748167;Wed Apr 13 18:56:56 CEST 2022;-2;-2,-2,-2,;239;2022-04-13 18:56:56.374;235;2022-04-13 18:56:56.374;244;2022-04-13 18:56:56.374
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.378437416160054|8.538851885977774|-2);47.378437416160054,8.538851885977774;Wed Apr 13 18:57:12 CEST 2022;-2;-2,-2,-2,;221;2022-04-13 18:57:12.328;237;2022-04-13 18:57:12.328;243;2022-04-13 18:57:12.328
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37782657363289|8.538926803573473|-2);47.37782657363289,8.538926803573473;Wed Apr 13 19:08:34 CEST 2022;-2;-2,-2,-2,;298;2022-04-13 19:08:34.382;276;2022-04-13 19:08:34.382;213;2022-04-13 19:08:34.382
